spot_key;zone_key;display_name;short_term_model;display_wind_requirements;display_spot_infos;link_windguru;link_webcam;link_anemometer;Latitude_mise_a_leau;Longitude_mise_a_leau;AROMEHD_gridpoint_latitude;AROMEHD_gridpoint_longitude;AROMEHD_gridpoint_elevation;ARPEGE_gridpoint_latitude;ARPEGE_gridpoint_longitude;ARPEGE_gridpoint_elevation;ICONCH1_gridpoint_latitude;ICONCH1_gridpoint_longitude;ICONCH1_gridpoint_elevation;ICONCH2_gridpoint_latitude;ICONCH2_gridpoint_longitude;ICONCH2_gridpoint_elevation;ICON13KM_gridpoint_latitude;ICON13KM_gridpoint_longitude;ICON13KM_gridpoint_elevation;IFS_gridpoint_latitude;IFS_gridpoint_longitude;IFS_gridpoint_elevation;GFS_gridpoint_latitude;GFS_gridpoint_longitude;GFS_gridpoint_elevation
messery;leman_grand_lac;Plage de la pointe - Messery;ICONCH1;Fonctionne par Nord-Est (Bise) et par Sud-Ouest dans l'axe du petit lac. Bonne vagues;Parking à 50m. Vent de travers. Navigation proche de Genève interdite;https://www.windguru.cz/48572;;;46.34887018502984;6.277054271560389;46.35000;6.27000;0;46.40000;6.30000;0;46.35890;6.27490;0;46.35842;6.26050;0;46.50000;6.50000;0;46.43234;6.34615;0;46.44972;6.44531;0
excenevex;leman_grand_lac;Plage d'Excenevex;ICONCH1;Fonctionne par Nord (Bise). Bonnes vagues. L'été, attention aux algues et au thermique contraire qui se lève dans la baie entre Yvoire et Sciez.;Se garer sur le parking du mini-golf. Attention aux rochers à l'Ouest du chenal de départ. Départ alternatif possible de la plage de Sciez a privilégier l'été avant 18h.;https://www.windguru.cz/179;https://agdv-xnv.com/index.php/en-direct-du-spot/;https://agdv-xnv.com/index.php/en-direct-du-spot/;46.34881609885344;6.360139830224631;46.35000;6.37000;0;46.40000;6.40000;0;46.35172;6.36243;0;46.36218;6.37622;0;46.50000;6.50000;0;46.43234;6.49038;0;46.44972;6.44531;0
vengeron;leman_petit_lac;Plage du Vengeron;ICONCH1;Fonctionne par Nord-Est (Bise) dans l'axe du petit lac. Eviter par Sud car proche de Genève;Ne pas s'approcher de Genève en naviguant !;https://www.windguru.cz/48572;;;46.24624520325465;6.153105126247325;46.25000;6.17000;0;46.30000;6.20000;382;46.24517;6.16693;0;46.25565;6.18066;0;46.50000;6.50000;0;46.43234;6.34615;0;46.33257;6.21094;0
hermance;leman_petit_lac;Plage d'Hermance;ICONCH1;Fonctionne par Nord-Est (Bise) et par Sud-Ouest dans l'axe du petit lac. Vagues par Nord-Est.;Eviter le spot l'été car la plage est payante et pleine. Attention au stationnement parfois compliqué;https://www.windguru.cz/48572;;;46.303907093450675;6.240829980770505;46.31000;6.24000;0;46.30000;6.20000;382;46.30753;6.23499;0;46.31752;6.23431;0;46.50000;6.50000;0;46.43234;6.34615;0;46.33257;6.21094;0
plage_de_sevrier;annecy;Lac d'Annecy - Plage de Sévrier;ICONCH1;Fonctionne bien par Nord dans l'axe du Lac. Il faut vraiment un carton pour qu'il y ait des vagues;Mise à l'eau et parking au Nord de la plage. Attention à ne pas se retrouver coincé sur le petit lac au Sud;;;;45.86205585162512;6.1437680203259415;45.86000;6.16000;0;45.90000;6.10000;548;45.86465;6.16492;0;45.85516;6.18005;0;45.87500;6.12500;717;45.94024;6.13312;689;45.98112;6.09375;634
cap_des_seselets;bourget;Lac du Bourget - Cap des Séselets;AROMEHD;Fonctionne bien par Nord mais le vent a du mal a rentrer dans la vallée donc attendre un bon vent météo. Bonnes vagues (Fetch 18km). Régime de thermique complexe l'été.;Parking juste devant le cap des Séselets juste une route à traverser;;;;45.657188170046744;5.89316944751032;45.66000;5.88000;0;45.80000;5.80000;394;45.66424;5.87817;0;45.66424;5.87817;0;45.62500;5.87500;579;45.79965;5.82938;361;45.62968;5.85938;591
parking_pre_rencontre;laffrey;Grand Lac de Laffrey - Parking du pré de la rencontre;ICONCH1;Fonctionne par Sud. Le spot est réputé pour ses gros cartons de Sud qui lèvent de belles vagues;Parking du pré de la rencontre à 50m de la mise à l'eau;;;;45.02076461650268;5.777276981054155;45.01000;5.78000;0;44.90000;5.80000;923;45.00930;5.77124;1002;45.01982;5.78467;1054;45.00000;5.75000;1094;44.95606;5.72093;896;44.92677;5.74219;1041
treffort;monteynard;Lac du Monteynard - Treffort - Parking du camping de la Plage;ICONCH1;Thermique N si il y a du soleil sur le Devoluy et le Triève de Mars à Octobre. Idéal si vent météo Nord.;Deux parking possibles celui du camping de la plage au Nord est idéal. Hors saison navigation interdite en dessous de la marque et privilégier le parking Sud;;;;44.909925594230934;5.671260975681543;44.91000;5.68000;0;44.90000;5.70000;862;44.90564;5.68030;502;44.91562;5.67944;563;44.87500;5.62500;932;44.88576;5.71207;915;44.92677;5.62500;1074
portes_les_valence;valence;Portes-lès-Valence - Parking des Surfeurs;AROMEHD;Fonctionne par Sud dans l'axe du spot (Légèrement Ouest). A privilégier par vent léger car c'est le plus au Sud de la vallée du Rhône et il profite d'un meilleur venturi;"Se garer sur le ""parking des surfeurs"". Les péniches sont prioritaires! Débris possibles en hiver après les crues!";;;;44.87380121720323;4.862811750639313;44.87000;4.86000;101;44.90000;4.90000;144;44.87067;4.86359;103;44.88065;4.86267;140;44.87500;4.87500;163;44.88576;4.87616;173;44.92677;4.92188;209
roche_de_glun;valence;La Roche-de-Glun - Base Nautique;AROMEHD;Fonctionne par Nord ou Nord-Est dans l'axe du spot. Le barage casse le vent par Sud;"Navigation au Nord du barage.;Se garer au parking juste au Nord du club de voile. Les péniches sont prioritaires! Débris possibles en hiver après les crues!";;;;45.01884145257838;4.846972783140066;45.03000;4.84000;116;45.00000;4.90000;145;45.02034;4.84967;118;45.02034;4.84967;121;45.00000;4.87500;296;45.02636;4.89130;205;45.04393;4.92188;208
